,name,year,avg_fant_pt
544,Baker Mayfield,2018,17.0071427481515
545,Jay Cutler,2009,13.9962500666734
546,Josh Freeman,2009,9.24000000357628
547,Josh Johnson,2011,1.61555554221074
548,Jared Goff,2017,17.0173335075378
549,Matt Ryan,2009,13.1100000739098
550,Taysom Hill,2018,1.91000002250075
551,Ryan Tannehill,2018,12.9054545055736
552,Brandon Allen,2019,10.8333333333333
553,Sam Bradford,2018,4.23333323001862
554,Matt Cassel,2018,0.830000042915344
555,Ben Roethlisberger,2019,6.36999988555908
556,Andy Dalton,2011,12.9450000673532
557,Donovan McNabb,2011,10.8233332633972
558,Drew Brees,2012,21.5987499803305
559,David Carr,2009,3.61666672676802
560,Matt Cassel,2010,15.2760003169378
561,Cam Newton,2012,20.2162500023842
562,Shaun Hill,2009,9.78666671117147
563,Colin Kaepernick,2015,12.0222223599752
564,Blake Bortles,2018,13.3246153684763
565,Kerry Collins,2009,8.64285721097674
566,Carson Palmer,2017,14.6171429497855
567,Blaine Gabbert,2018,4.12999997846782
568,David Garrard,2010,15.8042857109436
569,David Garrard,2009,13.7612497955561
570,Matthew Stafford,2011,21.2075001001358
571,Dak Prescott,2018,17.7437498569489
572,Jameis Winston,2016,15.6312500238419
573,Kevin Kolb,2011,10.9666669186619
574,Ryan Fitzpatrick,2017,12.2866666788856
575,Seneca Wallace,2011,5.62999998033047
576,Matt Cassel,2014,7.59999990463257
577,Matt Ryan,2013,15.5062499642372
578,Lamar Jackson,2018,9.84624985605478
579,Tom Savage,2016,5.87999999523163
580,Derek Anderson,2012,1.16000001132488
581,Matt Cassel,2011,10.6688888337877
582,Eli Manning,2017,12.4879999796549
583,Luke Falk,2019,2.87999999523163
584,Brian Hoyer,2019,5.26999988406897
585,Mark Sanchez,2010,12.508749961853
586,Bruce Gradkowski,2009,9.01142850092479
587,A.J. McCarron,2017,0.879999995231628
588,Jeff Tuel,2013,6.02999985218048
589,Ryan Fitzpatrick,2009,8.89799999594688
590,Kirk Cousins,2016,18.7674998044968
591,Drew Stanton,2017,10.0920000076294
592,Jay Cutler,2015,14.9640000025431
593,Scott Tolzien,2016,2.98000006377697
594,Chase Daniel,2014,2.5933333709836
595,Matt Leinart,2011,3.09000010415912
596,Sam Bradford,2017,13.4900004863739
597,Kyle Orton,2011,9.51333345307244
598,Byron Leftwich,2012,8.99000024795532
599,Philip Rivers,2014,16.6024998575449
600,Joe Flacco,2018,15.2333331637912
601,Philip Rivers,2010,17.4749999642372
602,Brock Osweiler,2013,0.999999985098839
603,Brett Favre,2009,17.6612499952316
604,Russell Wilson,2016,16.6287502646446
605,Colin Kaepernick,2013,16.5174999088049
606,Carson Palmer,2009,12.941250026226
607,Kyle Orton,2014,14.5100000301997
608,Colin Kaepernick,2016,16.5533332228661
609,Trent Edwards,2010,4.92799997329712
610,Nick Foles,2015,8.55272729830308
611,Stephen McGee,2010,12.460000038147
612,Carson Wentz,2016,13.0737500190735
613,Chase Daniel,2013,3.42399991899729
614,Matt Schaub,2009,17.4062497913837
615,Kellen Clemens,2015,3.2099999897182
616,Byron Leftwich,2009,11.4533334374428
617,Keith Null,2009,3.81000009179115
618,Patrick Mahomes,2018,26.0674998760223
619,Kirk Cousins,2015,18.0900000929832
620,Joe Webb,2011,4.48545457219536
621,Derek Anderson,2018,3.25
622,Brock Osweiler,2017,10.6533333659172
623,Ryan Tannehill,2015,15.9575000107288
624,Sam Darnold,2018,12.9538462253717
625,Trevone Boykin,2016,1.31666670242945
626,Joe Flacco,2013,12.723750025034
627,Andy Dalton,2018,15.8672729838978
628,Ben Roethlisberger,2012,17.0615385495699
629,Ryan Fitzpatrick,2015,17.8249999284744
630,Troy Smith,2009,2.01500004716218
631,Kirk Cousins,2013,6.71199994087219
632,Ben Roethlisberger,2014,18.7612498700619
633,Brock Osweiler,2016,11.1986667792002
634,Austin Davis,2015,6.39333343505859
635,Jay Cutler,2014,16.5053332964579
636,Landry Jones,2015,3.14571424680097
637,Kerry Collins,2011,6.38000003496806
638,Drew Stanton,2016,1.87600005865097
639,Jason Campbell,2011,13.1333331465721
640,Chase Daniel,2019,8.66666646798452
641,Kellen Moore,2015,11.0199999809265
642,John Beck,2011,12.1550000905991
643,Jimmy Garoppolo,2017,14.483333269755
644,Ben Roethlisberger,2011,14.4053334871928
645,Ryan Fitzpatrick,2014,14.9766665101051
